materials backflow_percent inlet_D angle inlet_V Density Viscosity
354 76.056749 1.4 0.7679 367.2000000000001 0.00106 0.004
355 75.586503 1.4 0.7679 334.0 0.00106 0.004
356 75.10201 1.4 0.7679 300.8 0.00106 0.004
357 74.605014 1.4 0.7679 267.6 0.00106 0.004
358 73.990366 1.4 0.7679 234.4 0.00106 0.004
359 73.078839 1.4 0.7679 201.2 0.00106 0.004
360 71.998819 1.4 0.7679 168.0 0.00106 0.004
361 70.293519 1.4 0.7679 134.8 0.00106 0.004
362 67.009673 1.4 0.7679 101.6 0.00106 0.004
363 53.817287 1.4 0.7679 68.4 0.00106 0.004
364 80.451229 1.4 0.8378 500.0 0.00106 0.004
365 80.247917 1.4 0.8378 466.8 0.00106 0.004
366 79.994047 1.4 0.8378 433.6 0.00106 0.004
367 79.696709 1.4 0.8378 400.4 0.00106 0.004
368 79.353497 1.4 0.8378 367.2000000000001 0.00106 0.004
369 78.992999 1.4 0.8378 334.0 0.00106 0.004
370 78.591737 1.4 0.8378 300.8 0.00106 0.004
371 78.070489 1.4 0.8378 267.6 0.00106 0.004
372 77.420861 1.4 0.8378 234.4 0.00106 0.004
373 76.621616 1.4 0.8378 201.2 0.00106 0.004
374 75.572646 1.4 0.8378 168.0 0.00106 0.004
375 74.242405 1.4 0.8378 134.8 0.00106 0.004
376 71.659824 1.4 0.8378 101.6 0.00106 0.004
377 61.535818 1.4 0.8378 68.4 0.00106 0.004
378 41.46588 1.7 0.2793 500.0 0.00106 0.004
379 40.807157 1.7 0.2793 466.8 0.00106 0.004
380 40.134039 1.7 0.2793 433.6 0.00106 0.004
381 39.229449 1.7 0.2793 400.4 0.00106 0.004
382 38.275246 1.7 0.2793 367.2000000000001 0.00106 0.004
383 37.215178 1.7 0.2793 334.0 0.00106 0.004
384 35.829159 1.7 0.2793 300.8 0.00106 0.004
385 33.809362 1.7 0.2793 267.6 0.00106 0.004
386 31.18589 1.7 0.2793 234.4 0.00106 0.004
387 26.871047 1.7 0.2793 201.2 0.00106 0.004
388 19.99348 1.7 0.2793 168.0 0.00106 0.004
389 10.647646 1.7 0.2793 134.8 0.00106 0.004
390 2.7926524 1.7 0.2793 101.6 0.00106 0.004
391 0.0 1.7 0.2793 68.4 0.00106 0.004
392 49.87762 1.7 0.3491 500.0 0.00106 0.004
393 49.296371 1.7 0.3491 466.8 0.00106 0.004
394 48.832343 1.7 0.3491 433.6 0.00106 0.004
395 48.267774 1.7 0.3491 400.4 0.00106 0.004
396 47.501408 1.7 0.3491 367.2000000000001 0.00106 0.004
397 46.700511 1.7 0.3491 334.0 0.00106 0.004
398 45.706903 1.7 0.3491 300.8 0.00106 0.004
399 44.462355 1.7 0.3491 267.6 0.00106 0.004
400 43.017759 1.7 0.3491 234.4 0.00106 0.004
401 41.088631 1.7 0.3491 201.2 0.00106 0.004
402 37.063771 1.7 0.3491 168.0 0.00106 0.004
403 28.234888 1.7 0.3491 134.8 0.00106 0.004
404 13.516889 1.7 0.3491 101.6 0.00106 0.004
405 0.0 1.7 0.3491 68.4 0.00106 0.004
406 56.262013 1.7 0.4189 500.0 0.00106 0.004
407 55.833568 1.7 0.4189 466.8 0.00106 0.004
408 55.472177 1.7 0.4189 433.6 0.00106 0.004
409 54.968373 1.7 0.4189 400.4 0.00106 0.004
410 54.441372 1.7 0.4189 367.2000000000001 0.00106 0.004
411 53.799109 1.7 0.4189 334.0 0.00106 0.004
412 53.122501 1.7 0.4189 300.8 0.00106 0.004
413 52.327867 1.7 0.4189 267.6 0.00106 0.004
414 51.220865 1.7 0.4189 234.4 0.00106 0.004
415 50.012688 1.7 0.4189 201.2 0.00106 0.004
416 47.551498 1.7 0.4189 168.0 0.00106 0.004
417 42.580941 1.7 0.4189 134.8 0.00106 0.004
418 28.91917 1.7 0.4189 101.6 0.00106 0.004
419 6.0771913 1.7 0.4189 68.4 0.00106 0.004
420 62.009822 1.7 0.4887 500.0 0.00106 0.004
421 61.734727 1.7 0.4887 466.8 0.00106 0.004
422 61.339289 1.7 0.4887 433.6 0.00106 0.004
423 60.903906 1.7 0.4887 400.4 0.00106 0.004
424 60.461412 1.7 0.4887 367.2000000000001 0.00106 0.004
425 59.867566 1.7 0.4887 334.0 0.00106 0.004
426 59.297015 1.7 0.4887 300.8 0.00106 0.004
427 58.443571 1.7 0.4887 267.6 0.00106 0.004
428 57.537824 1.7 0.4887 234.4 0.00106 0.004
429 56.374846 1.7 0.4887 201.2 0.00106 0.004
430 54.819981 1.7 0.4887 168.0 0.00106 0.004
431 51.436407 1.7 0.4887 134.8 0.00106 0.004
432 43.949234 1.7 0.4887 101.6 0.00106 0.004
433 17.083245 1.7 0.4887 68.4 0.00106 0.004
434 66.639259 1.7 0.5585 500.0 0.00106 0.004
435 66.355373 1.7 0.5585 466.8 0.00106 0.004
436 66.001108 1.7 0.5585 433.6 0.00106 0.004
437 65.62617 1.7 0.5585 400.4 0.00106 0.004
438 65.148059 1.7 0.5585 367.2000000000001 0.00106 0.004
439 64.707451 1.7 0.5585 334.0 0.00106 0.004
440 64.085517 1.7 0.5585 300.8 0.00106 0.004
441 63.435522 1.7 0.5585 267.6 0.00106 0.004
442 62.757785 1.7 0.5585 234.4 0.00106 0.004
443 61.818345 1.7 0.5585 201.2 0.00106 0.004
444 60.416417 1.7 0.5585 168.0 0.00106 0.004
445 57.845708 1.7 0.5585 134.8 0.00106 0.004
446 52.96424 1.7 0.5585 101.6 0.00106 0.004
447 29.753609 1.7 0.5585 68.4 0.00106 0.004
448 70.140141 1.7 0.6283 500.0 0.00106 0.004
449 69.877086 1.7 0.6283 466.8 0.00106 0.004
450 69.618284 1.7 0.6283 433.6 0.00106 0.004
451 69.305812 1.7 0.6283 400.4 0.00106 0.004
452 68.959659 1.7 0.6283 367.2000000000001 0.00106 0.004
453 68.532082 1.7 0.6283 334.0 0.00106 0.004
454 68.0599 1.7 0.6283 300.8 0.00106 0.004
455 67.557621 1.7 0.6283 267.6 0.00106 0.004
456 66.805639 1.7 0.6283 234.4 0.00106 0.004
